BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
bolsigdb_air.dat
--------------------------------------------------
N2(v1)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(A3)                                                          
bolsigdb_air.dat
--------------------------------------------------
N                                                               
bolsigdb_air.dat
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction N2                          0.9997    
Mole fraction N2(v1)                      0.1000E-03
Mole fraction N2(A3)                      0.1000E-03
Mole fraction N                           0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
1.276	58.99
1.304	60.96
1.337	63.00
1.374	65.10
1.416	67.28
1.463	69.53
1.517	71.85
1.574	74.26
1.638	76.74
1.708	79.30
1.783	81.96
1.865	84.70
1.953	87.53
2.045	90.45
2.144	93.48
2.249	96.60
2.358	99.83
2.473	103.2
2.591	106.6
2.713	110.2
2.838	113.9
2.967	117.7
3.097	121.6
3.230	125.7
3.363	129.9
3.497	134.2
3.632	138.7
3.767	143.3
3.902	148.1
4.037	153.1
4.172	158.2
4.307	163.5
4.441	169.0
4.574	174.6
4.710	180.5
4.844	186.5
4.976	192.7
5.108	199.2
5.240	205.8
5.372	212.7
5.504	219.8
5.637	227.2
5.770	234.8
5.904	242.6
6.039	250.7
6.175	259.1
6.311	267.8
6.451	276.7
6.592	286.0
6.736	295.5
6.882	305.4
7.030	315.6
7.181	326.2
7.335	337.1
7.493	348.4
7.655	360.0
7.820	372.1
7.992	384.5
8.166	397.3
8.344	410.6
8.527	424.4
8.715	438.5
8.907	453.2
9.106	468.4
9.311	484.0
9.522	500.2
9.739	516.9
9.963	534.2
10.19	552.1
10.43	570.5
10.68	589.6
10.93	609.3
11.19	629.7
11.46	650.8
11.74	672.5
12.03	695.0
12.32	718.2
12.63	742.2
12.95	767.1
13.28	792.7
13.61	819.2
13.97	846.6
14.33	874.9
14.70	904.2
15.09	934.4
15.49	965.6
15.91	997.9
16.34	1031.
16.78	1066.
17.24	1101.
17.72	1138.
18.22	1176.
18.73	1216.
19.26	1256.
19.81	1298.
20.39	1342.
20.98	1387.
21.60	1433.
22.24	1481.
22.90	1530.
23.59	1581.
24.31	1634.
25.05	1689.
25.83	1745.
26.64	1804.
27.47	1864.
28.35	1926.
29.25	1991.
30.20	2057.
31.19	2126.
32.21	2197.
33.28	2271.
34.40	2347.
35.57	2425.
36.78	2506.
38.05	2590.
39.38	2677.
40.77	2766.
42.22	2859.
43.73	2954.
45.32	3053.
46.98	3155.
48.72	3261.
50.54	3370.
52.46	3482.
54.46	3599.
56.56	3719.
58.77	3843.
61.09	3972.
63.53	4105.
66.10	4242.
68.79	4384.
71.63	4530.
74.63	4682.
77.78	4838.
81.11	5000.
 
 
Energy (eV) 	Grid type                                                       
0.2485	0.000
0.2552	3.000
0.2621	3.000
0.2691	3.000
0.2763	3.000
0.2837	3.000
0.2913	3.000
0.2990	3.000
0.3069	3.000
0.3150	3.000
0.3233	3.000
0.3317	3.000
0.3403	3.000
0.3491	3.000
0.3581	3.000
0.3672	3.000
0.3765	3.000
0.3860	3.000
0.3956	3.000
0.4054	3.000
0.4153	3.000
0.4254	3.000
0.4356	3.000
0.4459	3.000
0.4564	3.000
0.4669	3.000
0.4776	3.000
0.4883	3.000
0.4991	3.000
0.5099	3.000
0.5207	3.000
0.5316	3.000
0.5425	3.000
0.5533	3.000
0.5641	3.000
0.5749	3.000
0.5855	3.000
0.5961	3.000
0.6066	3.000
0.6169	3.000
0.6272	3.000
0.6372	3.000
0.6471	3.000
0.6568	3.000
0.6663	3.000
0.6755	3.000
0.6846	3.000
0.6934	3.000
0.7020	3.000
0.7104	3.000
0.7185	3.000
0.7263	3.000
0.7339	3.000
0.7412	3.000
0.7483	3.000
0.7551	3.000
0.7617	3.000
0.7680	3.000
0.7740	3.000
0.7798	3.000
0.7854	3.000
0.7907	3.000
0.7958	3.000
0.8006	3.000
0.8052	3.000
0.8097	3.000
0.8139	3.000
0.8179	3.000
0.8217	3.000
0.8253	3.000
0.8288	3.000
0.8320	3.000
0.8351	3.000
0.8381	3.000
0.8409	3.000
0.8436	3.000
0.8461	3.000
0.8484	3.000
0.8508	3.000
0.8530	3.000
0.8550	3.000
0.8570	3.000
0.8588	3.000
0.8606	3.000
0.8622	3.000
0.8638	3.000
0.8653	3.000
0.8668	3.000
0.8681	3.000
0.8695	3.000
0.8707	3.000
0.8719	3.000
0.8730	3.000
0.8741	3.000
0.8752	3.000
0.8762	3.000
0.8771	3.000
0.8780	3.000
0.8789	3.000
0.8798	3.000
0.8806	3.000
0.8814	3.000
0.8822	3.000
0.8829	3.000
0.8836	3.000
0.8844	3.000
0.8850	3.000
0.8857	3.000
0.8864	3.000
0.8870	3.000
0.8876	3.000
0.8883	3.000
0.8889	3.000
0.8895	3.000
0.8901	3.000
0.8907	3.000
0.8913	3.000
0.8919	3.000
0.8925	3.000
0.8931	3.000
0.8937	3.000
0.8943	3.000
0.8949	3.000
0.8955	3.000
0.8961	3.000
0.8967	3.000
0.8972	3.000
0.8979	3.000
0.8985	3.000
0.8991	3.000
0.8997	3.000
0.9004	3.000
0.9010	3.000
0.9017	3.000
0.9023	3.000
0.9030	3.000
0.9037	3.000
0.9044	3.000
0.9050	3.000
0.9058	3.000
0.9065	3.000
0.9073	3.000
0.9081	3.000
0.9089	3.000
0.9096	3.000
0.9105	3.000
0.9113	3.000
0.9122	3.000
0.9131	3.000
0.9140	3.000
0.9149	3.000
0.9158	3.000
0.9168	3.000
0.9176	3.000
0.9187	3.000
0.9197	3.000
0.9207	3.000
0.9218	3.000
0.9229	3.000
0.9240	3.000
0.9251	3.000
0.9262	3.000
0.9274	3.000
0.9286	3.000
0.9298	3.000
0.9311	3.000
0.9323	3.000
0.9336	3.000
0.9350	3.000
0.9363	3.000
0.9377	3.000
0.9391	3.000
0.9406	3.000
0.9420	3.000
0.9435	3.000
0.9450	3.000
0.9465	3.000
0.9481	3.000
0.9497	3.000
0.9513	3.000
0.9530	3.000
0.9546	3.000
0.9564	3.000
0.9578	3.000
0.9595	3.000
0.9613	3.000
0.9630	3.000
0.9648	3.000
0.9666	3.000
0.9684	3.000
0.9703	3.000
0.9721	3.000
0.9739	3.000
0.9759	3.000
0.9778	3.000
0.9796	3.000
0.9816	3.000
0.9835	3.000
0.9855	3.000
0.9875	3.000
0.9894	3.000
0.9914	3.000
0.9934	3.000
0.9954	3.000
0.9974	3.000
0.9994	3.000
1.001	3.000
1.003	3.000
1.005	3.000
1.008	3.000
1.010	3.000
1.012	3.000
1.014	3.000
1.016	3.000
1.018	3.000
1.020	3.000
1.022	3.000
1.024	3.000
1.026	3.000
1.028	3.000
1.030	3.000
1.032	3.000
1.034	3.000
1.036	3.000
1.038	3.000
1.040	3.000
1.042	3.000
1.045	3.000
1.047	3.000
1.049	3.000
1.051	3.000
1.053	3.000
1.055	3.000
1.057	3.000
1.060	3.000
1.062	3.000
1.064	3.000
1.066	3.000
1.069	3.000
1.072	3.000
1.074	3.000
1.076	3.000
1.079	3.000
1.082	3.000
1.085	3.000
1.087	3.000
1.091	3.000
1.094	3.000
1.098	3.000
1.101	3.000
1.106	3.000
1.110	3.000
1.115	3.000
1.122	3.000
1.128	3.000
1.135	3.000
1.144	3.000
1.153	3.000
1.164	3.000
1.177	3.000
1.191	3.000
1.208	3.000
1.228	3.000
1.250	3.000
1.276	3.000
1.304	3.000
1.337	3.000
1.374	3.000
1.416	3.000
1.463	3.000
1.517	3.000
1.574	3.000
1.638	3.000
1.708	3.000
1.783	3.000
1.865	3.000
1.953	3.000
2.045	3.000
2.144	3.000
2.249	3.000
2.358	3.000
2.473	3.000
2.591	3.000
2.713	3.000
2.838	3.000
2.967	3.000
3.097	3.000
3.230	3.000
3.363	3.000
3.497	3.000
3.632	3.000
3.767	3.000
3.902	3.000
4.037	3.000
4.172	3.000
4.307	3.000
4.441	3.000
4.574	3.000
4.710	3.000
4.844	3.000
4.976	3.000
5.108	3.000
5.240	3.000
5.372	3.000
5.504	3.000
5.637	3.000
5.770	3.000
5.904	3.000
6.039	3.000
6.175	3.000
6.311	3.000
6.451	3.000
6.592	3.000
6.736	3.000
6.882	3.000
7.030	3.000
7.181	3.000
7.335	3.000
7.493	3.000
7.655	3.000
7.820	3.000
7.992	3.000
8.166	3.000
8.344	3.000
8.527	3.000
8.715	3.000
8.907	3.000
9.106	3.000
9.311	3.000
9.522	3.000
9.739	3.000
9.963	3.000
10.19	3.000
10.43	3.000
10.68	3.000
10.93	3.000
11.19	3.000
11.46	3.000
11.74	3.000
12.03	3.000
12.32	3.000
12.63	3.000
12.95	3.000
13.28	3.000
13.61	3.000
13.97	3.000
14.33	3.000
14.70	3.000
15.09	3.000
15.49	3.000
15.91	3.000
16.34	3.000
16.78	3.000
17.24	3.000
17.72	3.000
18.22	3.000
18.73	3.000
19.26	3.000
19.81	3.000
20.39	3.000
20.98	3.000
21.60	3.000
22.24	3.000
22.90	3.000
23.59	3.000
24.31	3.000
25.05	3.000
25.83	3.000
26.64	3.000
27.47	3.000
28.35	3.000
29.25	3.000
30.20	3.000
31.19	3.000
32.21	3.000
33.28	3.000
34.40	3.000
35.57	3.000
36.78	3.000
38.05	3.000
39.38	3.000
40.77	3.000
42.22	3.000
43.73	3.000
45.32	3.000
46.98	3.000
48.72	3.000
50.54	3.000
52.46	3.000
54.46	3.000
56.56	3.000
58.77	3.000
61.09	3.000
63.53	3.000
66.10	3.000
68.79	3.000
71.63	3.000
74.63	3.000
77.78	3.000
81.11	3.000
 
 
Energy (eV) 	Maximum energy                                                  
0.2485	200.0
0.2552	2.111
0.2621	2.111
0.2691	2.111
0.2763	2.111
0.2837	2.111
0.2913	2.246
0.2990	2.246
0.3069	2.246
0.3150	2.246
0.3233	2.246
0.3317	2.246
0.3403	2.246
0.3491	2.246
0.3581	2.246
0.3672	2.246
0.3765	2.246
0.3860	2.246
0.3956	2.246
0.4054	2.246
0.4153	2.246
0.4254	2.246
0.4356	2.246
0.4459	2.246
0.4564	2.246
0.4669	2.246
0.4776	2.246
0.4883	2.246
0.4991	2.246
0.5099	2.246
0.5207	2.246
0.5316	2.246
0.5425	2.246
0.5533	2.246
0.5641	2.246
0.5749	2.246
0.5855	2.246
0.5961	2.246
0.6066	2.246
0.6169	2.246
0.6272	2.246
0.6372	2.246
0.6471	2.246
0.6568	2.246
0.6663	2.246
0.6755	2.246
0.6846	2.246
0.6934	2.246
0.7020	2.246
0.7104	2.246
0.7185	2.246
0.7263	2.246
0.7339	2.246
0.7412	2.246
0.7483	2.246
0.7551	2.246
0.7617	2.246
0.7680	2.246
0.7740	2.246
0.7798	2.246
0.7854	2.246
0.7907	2.246
0.7958	2.246
0.8006	2.246
0.8052	2.246
0.8097	2.246
0.8139	2.246
0.8179	2.246
0.8217	2.246
0.8253	2.246
0.8288	2.246
0.8320	2.246
0.8351	2.246
0.8381	2.246
0.8409	2.246
0.8436	2.246
0.8461	2.246
0.8484	2.246
0.8508	2.246
0.8530	2.246
0.8550	2.246
0.8570	2.246
0.8588	2.246
0.8606	2.246
0.8622	2.246
0.8638	2.246
0.8653	2.246
0.8668	2.246
0.8681	2.246
0.8695	2.246
0.8707	2.246
0.8719	2.246
0.8730	2.246
0.8741	2.246
0.8752	2.246
0.8762	2.246
0.8771	2.246
0.8780	2.246
0.8789	2.246
0.8798	2.246
0.8806	2.246
0.8814	2.246
0.8822	2.246
0.8829	2.246
0.8836	2.246
0.8844	2.246
0.8850	2.246
0.8857	2.246
0.8864	2.246
0.8870	2.246
0.8876	2.246
0.8883	2.246
0.8889	2.246
0.8895	2.246
0.8901	2.246
0.8907	2.246
0.8913	2.246
0.8919	2.246
0.8925	2.246
0.8931	2.246
0.8937	2.246
0.8943	2.246
0.8949	2.246
0.8955	2.246
0.8961	2.246
0.8967	2.246
0.8972	2.246
0.8979	2.246
0.8985	2.246
0.8991	2.246
0.8997	2.246
0.9004	2.246
0.9010	2.246
0.9017	2.246
0.9023	2.246
0.9030	2.246
0.9037	2.246
0.9044	2.246
0.9050	2.246
0.9058	2.246
0.9065	2.246
0.9073	2.246
0.9081	2.246
0.9089	2.246
0.9096	2.246
0.9105	2.246
0.9113	2.246
0.9122	2.246
0.9131	2.675
0.9140	2.675
0.9149	2.675
0.9158	2.675
0.9168	2.675
0.9176	2.675
0.9187	2.675
0.9197	2.675
0.9207	2.675
0.9218	2.675
0.9229	2.675
0.9240	2.675
0.9251	2.675
0.9262	2.675
0.9274	2.675
0.9286	2.675
0.9298	2.675
0.9311	2.675
0.9323	2.675
0.9336	2.675
0.9350	2.675
0.9363	2.675
0.9377	2.675
0.9391	2.675
0.9406	2.675
0.9420	2.675
0.9435	2.675
0.9450	2.675
0.9465	2.675
0.9481	2.675
0.9497	2.675
0.9513	2.675
0.9530	2.675
0.9546	2.675
0.9564	2.675
0.9578	2.675
0.9595	2.675
0.9613	2.675
0.9630	2.675
0.9648	2.675
0.9666	2.675
0.9684	2.675
0.9703	2.675
0.9721	2.675
0.9739	2.675
0.9759	2.675
0.9778	2.675
0.9796	2.675
0.9816	2.675
0.9835	2.675
0.9855	2.675
0.9875	2.675
0.9894	2.675
0.9914	2.675
0.9934	2.675
0.9954	2.675
0.9974	2.675
0.9994	2.675
1.001	2.675
