BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9700    
Mole fraction Ar(1s2)                     0.1000E-02
Mole fraction Ar(1s3)                     0.1000E-02
Mole fraction Ar(1s4)                     0.1000E-02
Mole fraction Ar(1s5)                     0.1000E-02
Mole fraction O2                          0.1000E-02
Mole fraction O2(0.98)                    0.1000E-02
Mole fraction O2(1.63)                    0.1000E-02
Mole fraction H2O                         0.2000E-01
Mole fraction H                           0.1000E-02
Mole fraction H(2p)(10.2eV)               0.1000E-02
Mole fraction H(2s)(10.2eV)               0.1000E-02
 
 
Energy (eV) 	Electric field / N (Td)                                         
1.620	8.819
1.664	34.96
1.716	41.42
1.775	41.42
1.843	41.42
1.922	41.42
2.011	41.42
2.111	41.42
2.224	41.42
2.348	41.42
2.486	41.42
2.631	41.42
2.796	41.42
2.976	41.42
3.171	41.42
3.381	41.42
3.603	41.42
3.837	41.42
4.078	41.42
4.324	41.42
4.571	41.42
4.818	41.42
5.061	49.05
5.300	49.05
5.535	49.05
5.766	49.05
5.993	49.05
6.218	49.05
6.441	49.05
6.665	58.07
6.889	58.07
7.116	58.07
7.347	58.07
7.584	68.73
7.830	68.73
8.085	81.33
8.354	81.33
8.639	81.33
8.943	96.23
9.271	96.23
9.626	113.8
10.01	134.7
10.44	134.7
10.92	159.3
11.44	159.3
12.03	188.4
12.69	222.7
13.44	222.7
14.29	263.4
15.26	311.4
16.36	368.2
17.63	368.2
19.07	435.4
20.73	514.7
22.63	608.5
24.80	719.4
27.30	850.5
30.17	1189.
33.46	1405.
37.25	1661.
41.64	1963.
46.72	2321.
52.66	2744.
59.65	3834.
67.94	4532.
77.84	5358.
 
 
Energy (eV)	Mean energy (eV)
0.1395E-01	0.1395E-01
0.1578E-01	0.1578E-01
0.1809E-01	0.1809E-01
0.2082E-01	0.2082E-01
0.2439E-01	0.2439E-01
0.3194E-01	0.3194E-01
0.3891E-01	0.3891E-01
0.4427E-01	0.4427E-01
0.5063E-01	0.5063E-01
0.5819E-01	0.5819E-01
0.6721E-01	0.6721E-01
0.7917E-01	0.7917E-01
0.9221E-01	0.9221E-01
0.1076	0.1076
0.1275	0.1275
0.1529	0.1529
0.1832	0.1832
0.2196	0.2196
0.2622	0.2622
0.3107	0.3107
0.3616	0.3616
0.4142	0.4142
0.4667	0.4667
0.5185	0.5185
0.5681	0.5681
0.6157	0.6157
0.6617	0.6617
0.7071	0.7071
0.7515	0.7515
0.7963	0.7963
0.8422	0.8422
0.8905	0.8905
0.9417	0.9417
0.9970	0.9970
1.620	1.620
1.664	1.664
1.716	1.716
1.775	1.775
1.843	1.843
1.922	1.922
2.011	2.011
2.111	2.111
2.224	2.224
2.348	2.348
2.486	2.486
2.631	2.631
2.796	2.796
2.976	2.976
3.171	3.171
3.381	3.381
3.603	3.603
3.837	3.837
4.078	4.078
4.324	4.324
4.571	4.571
4.818	4.818
5.061	5.061
5.300	5.300
5.535	5.535
5.766	5.766
5.993	5.993
6.218	6.218
6.441	6.441
6.665	6.665
6.889	6.889
7.116	7.116
7.347	7.347
7.584	7.584
7.830	7.830
8.085	8.085
8.354	8.354
8.639	8.639
8.943	8.943
9.271	9.271
9.626	9.626
10.01	10.01
10.44	10.44
10.92	10.92
11.44	11.44
12.03	12.03
12.69	12.69
13.44	13.44
14.29	14.29
15.26	15.26
16.36	16.36
17.63	17.63
19.07	19.07
20.73	20.73
22.63	22.63
24.80	24.80
27.30	27.30
30.17	30.17
33.46	33.46
37.25	37.25
41.64	41.64
46.72	46.72
52.66	52.66
59.65	59.65
67.94	67.94
77.84	77.84
 
 
Energy (eV)	Mobility *N (1/m/V/s)
0.1395E-01	0.4333E+26
0.1578E-01	0.4163E+26
0.1809E-01	0.3892E+26
0.2082E-01	0.3749E+26
0.2439E-01	0.3564E+26
0.3194E-01	0.3269E+26
0.3891E-01	0.3091E+26
0.4427E-01	0.3008E+26
0.5063E-01	0.2925E+26
0.5819E-01	0.2841E+26
0.6721E-01	0.2756E+26
0.7917E-01	0.2653E+26
0.9221E-01	0.2563E+26
0.1076	0.2450E+26
0.1275	0.2348E+26
0.1529	0.2225E+26
0.1832	0.2102E+26
0.2196	0.1969E+26
0.2622	0.1829E+26
0.3107	0.1684E+26
0.3616	0.1546E+26
0.4142	0.1417E+26
0.4667	0.1298E+26
0.5185	0.1189E+26
0.5681	0.1096E+26
0.6157	0.1014E+26
0.6617	0.9416E+25
0.7071	0.8777E+25
0.7515	0.8220E+25
0.7963	0.7721E+25
0.8422	0.7270E+25
0.8905	0.6852E+25
0.9417	0.6469E+25
0.9970	0.6108E+25
1.620	0.4697E+25
1.664	0.4493E+25
1.716	0.4283E+25
1.775	0.4067E+25
1.843	0.3847E+25
1.922	0.3623E+25
2.011	0.3398E+25
2.111	0.3173E+25
2.224	0.2951E+25
2.348	0.2735E+25
2.486	0.2526E+25
2.631	0.2332E+25
2.796	0.2143E+25
2.976	0.1965E+25
3.171	0.1798E+25
3.381	0.1644E+25
3.603	0.1501E+25
3.837	0.1371E+25
4.078	0.1255E+25
4.324	0.1150E+25
4.571	0.1058E+25
4.818	0.9766E+24
5.061	0.9060E+24
5.300	0.8445E+24
5.535	0.7912E+24
5.766	0.7449E+24
5.993	0.7046E+24
6.218	0.6694E+24
6.441	0.6387E+24
6.665	0.6115E+24
6.889	0.5875E+24
7.116	0.5660E+24
7.347	0.5467E+24
7.584	0.5292E+24
7.830	0.5133E+24
8.085	0.4986E+24
8.354	0.4851E+24
8.639	0.4725E+24
8.943	0.4607E+24
9.271	0.4498E+24
9.626	0.4396E+24
10.01	0.4302E+24
10.44	0.4216E+24
10.92	0.4136E+24
11.44	0.4063E+24
12.03	0.3998E+24
12.69	0.3939E+24
13.44	0.3887E+24
14.29	0.3841E+24
15.26	0.3802E+24
16.36	0.3766E+24
17.63	0.3735E+24
19.07	0.3707E+24
20.73	0.3681E+24
22.63	0.3656E+24
24.80	0.3631E+24
27.30	0.3605E+24
30.17	0.3578E+24
33.46	0.3548E+24
37.25	0.3515E+24
41.64	0.3482E+24
46.72	0.3446E+24
52.66	0.3410E+24
59.65	0.3376E+24
67.94	0.3344E+24
77.84	0.3316E+24
 
 
Energy (eV)	Diffusion coefficient *N (1/m/s)
0.1395E-01	0.3234E+24
0.1578E-01	0.3537E+24
0.1809E-01	0.3908E+24
0.2082E-01	0.4357E+24
0.2439E-01	0.4956E+24
0.3194E-01	0.6413E+24
0.3891E-01	0.7667E+24
0.4427E-01	0.8434E+24
0.5063E-01	0.9331E+24
0.5819E-01	0.1037E+25
0.6721E-01	0.1157E+25
0.7917E-01	0.1318E+25
0.9221E-01	0.1470E+25
0.1076	0.1629E+25
0.1275	0.1822E+25
0.1529	0.2047E+25
0.1832	0.2274E+25
0.2196	0.2513E+25
0.2622	0.2757E+25
0.3107	0.3010E+25
0.3616	0.3238E+25
0.4142	0.3448E+25
0.4667	0.3637E+25
0.5185	0.3809E+25
0.5681	0.3954E+25
0.6157	0.4081E+25
0.6617	0.4190E+25
0.7071	0.4290E+25
0.7515	0.4373E+25
0.7963	0.4446E+25
0.8422	0.4512E+25
0.8905	0.4573E+25
0.9417	0.4627E+25
0.9970	0.4677E+25
1.620	0.4745E+25
1.664	0.4771E+25
1.716	0.4796E+25
1.775	0.4820E+25
1.843	0.4842E+25
1.922	0.4861E+25
2.011	0.4877E+25
2.111	0.4888E+25
2.224	0.4894E+25
2.348	0.4894E+25
2.486	0.4887E+25
2.631	0.4874E+25
2.796	0.4854E+25
2.976	0.4827E+25
3.171	0.4793E+25
3.381	0.4752E+25
3.603	0.4706E+25
3.837	0.4655E+25
4.078	0.4602E+25
4.324	0.4547E+25
4.571	0.4492E+25
4.818	0.4437E+25
5.061	0.4385E+25
5.300	0.4335E+25
5.535	0.4288E+25
5.766	0.4244E+25
5.993	0.4203E+25
6.218	0.4165E+25
6.441	0.4131E+25
6.665	0.4099E+25
6.889	0.4070E+25
7.116	0.4044E+25
7.347	0.4021E+25
7.584	0.4001E+25
7.830	0.3983E+25
8.085	0.3969E+25
8.354	0.3957E+25
8.639	0.3949E+25
8.943	0.3945E+25
9.271	0.3946E+25
9.626	0.3952E+25
10.01	0.3965E+25
10.44	0.3986E+25
10.92	0.4016E+25
11.44	0.4059E+25
12.03	0.4116E+25
12.69	0.4191E+25
13.44	0.4286E+25
14.29	0.4406E+25
15.26	0.4557E+25
16.36	0.4741E+25
17.63	0.4965E+25
19.07	0.5234E+25
20.73	0.5554E+25
22.63	0.5931E+25
24.80	0.6372E+25
27.30	0.6886E+25
30.17	0.7478E+25
33.46	0.8159E+25
37.25	0.8945E+25
41.64	0.9854E+25
46.72	0.1091E+26
52.66	0.1215E+26
59.65	0.1362E+26
67.94	0.1539E+26
77.84	0.1754E+26
 
 
Energy (eV)	Energy mobility *N (1/m/V/s)
0.1395E-01	0.5188E+26
0.1578E-01	0.5045E+26
0.1809E-01	0.4890E+26
0.2082E-01	0.4764E+26
0.2439E-01	0.4647E+26
0.3194E-01	0.4579E+26
0.3891E-01	0.4485E+26
0.4427E-01	0.4348E+26
0.5063E-01	0.4208E+26
0.5819E-01	0.4062E+26
0.6721E-01	0.3906E+26
0.7917E-01	0.3745E+26
0.9221E-01	0.3551E+26
0.1076	0.3326E+26
0.1275	0.3090E+26
0.1529	0.2836E+26
0.1832	0.2573E+26
0.2196	0.2316E+26
0.2622	0.2079E+26
0.3107	0.1870E+26
0.3616	0.1692E+26
0.4142	0.1543E+26
0.4667	0.1421E+26
0.5185	0.1320E+26
0.5681	0.1235E+26
0.6157	0.1164E+26
0.6617	0.1101E+26
0.7071	0.1046E+26
0.7515	0.9961E+25
0.7963	0.9492E+25
0.8422	0.9046E+25
0.8905	0.8613E+25
0.9417	0.8186E+25
0.9970	0.7760E+25
1.620	0.4659E+25
1.664	0.4536E+25
1.716	0.4396E+25
1.775	0.4240E+25
1.843	0.4069E+25
1.922	0.3884E+25
2.011	0.3688E+25
2.111	0.3484E+25
2.224	0.3276E+25
2.348	0.3066E+25
2.486	0.2857E+25
2.631	0.2659E+25
2.796	0.2460E+25
2.976	0.2267E+25
3.171	0.2084E+25
3.381	0.1913E+25
3.603	0.1754E+25
3.837	0.1609E+25
4.078	0.1479E+25
4.324	0.1364E+25
4.571	0.1263E+25
4.818	0.1176E+25
5.061	0.1100E+25
5.300	0.1035E+25
5.535	0.9789E+24
5.766	0.9304E+24
5.993	0.8886E+24
6.218	0.8523E+24
6.441	0.8208E+24
6.665	0.7933E+24
6.889	0.7693E+24
7.116	0.7483E+24
7.347	0.7299E+24
7.584	0.7136E+24
7.830	0.6992E+24
8.085	0.6865E+24
8.354	0.6751E+24
8.639	0.6650E+24
8.943	0.6561E+24
9.271	0.6483E+24
9.626	0.6414E+24
10.01	0.6356E+24
10.44	0.6307E+24
10.92	0.6267E+24
11.44	0.6235E+24
12.03	0.6211E+24
12.69	0.6195E+24
13.44	0.6184E+24
14.29	0.6178E+24
15.26	0.6178E+24
16.36	0.6175E+24
17.63	0.6172E+24
19.07	0.6164E+24
20.73	0.6151E+24
22.63	0.6130E+24
24.80	0.6101E+24
27.30	0.6066E+24
30.17	0.6021E+24
33.46	0.5970E+24
37.25	0.5917E+24
41.64	0.5864E+24
46.72	0.5816E+24
52.66	0.5777E+24
59.65	0.5750E+24
67.94	0.5741E+24
77.84	0.5753E+24
 
 
Energy (eV)	Energy diffusion coef. D*N (1/m/s)
0.1395E-01	0.9966E+24
0.1578E-01	0.1034E+25
0.1809E-01	0.1083E+25
0.2082E-01	0.1149E+25
0.2439E-01	0.1233E+25
0.3194E-01	0.1402E+25
0.3891E-01	0.1538E+25
0.4427E-01	0.1667E+25
0.5063E-01	0.1816E+25
0.5819E-01	0.1986E+25
0.6721E-01	0.2176E+25
0.7917E-01	0.2398E+25
0.9221E-01	0.2628E+25
0.1076	0.2865E+25
0.1275	0.3129E+25
0.1529	0.3399E+25
0.1832	0.3658E+25
0.2196	0.3898E+25
0.2622	0.4109E+25
0.3107	0.4288E+25
0.3616	0.4434E+25
0.4142	0.4553E+25
0.4667	0.4648E+25
0.5185	0.4726E+25
0.5681	0.4790E+25
0.6157	0.4844E+25
0.6617	0.4890E+25
0.7071	0.4931E+25
0.7515	0.4967E+25
0.7963	0.4999E+25
0.8422	0.5028E+25
0.8905	0.5054E+25
0.9417	0.5078E+25
0.9970	0.5098E+25
1.620	0.4645E+25
1.664	0.4670E+25
1.716	0.4694E+25
1.775	0.4717E+25
1.843	0.4736E+25
1.922	0.4751E+25
2.011	0.4761E+25
2.111	0.4763E+25
2.224	0.4758E+25
2.348	0.4745E+25
2.486	0.4722E+25
2.631	0.4690E+25
2.796	0.4649E+25
2.976	0.4598E+25
3.171	0.4538E+25
3.381	0.4472E+25
3.603	0.4401E+25
3.837	0.4328E+25
4.078	0.4254E+25
4.324	0.4181E+25
4.571	0.4112E+25
4.818	0.4047E+25
5.061	0.3987E+25
5.300	0.3933E+25
5.535	0.3884E+25
5.766	0.3840E+25
5.993	0.3802E+25
6.218	0.3769E+25
6.441	0.3742E+25
6.665	0.3720E+25
6.889	0.3704E+25
7.116	0.3694E+25
7.347	0.3690E+25
7.584	0.3692E+25
7.830	0.3702E+25
8.085	0.3720E+25
8.354	0.3747E+25
8.639	0.3784E+25
8.943	0.3833E+25
9.271	0.3895E+25
9.626	0.3973E+25
10.01	0.4071E+25
10.44	0.4190E+25
10.92	0.4336E+25
11.44	0.4513E+25
12.03	0.4726E+25
12.69	0.4982E+25
13.44	0.5286E+25
14.29	0.5646E+25
15.26	0.6074E+25
16.36	0.6568E+25
17.63	0.7141E+25
19.07	0.7800E+25
20.73	0.8554E+25
22.63	0.9412E+25
24.80	0.1039E+26
27.30	0.1150E+26
30.17	0.1277E+26
33.46	0.1424E+26
37.25	0.1597E+26
41.64	0.1802E+26
46.72	0.2052E+26
52.66	0.2364E+26
59.65	0.2757E+26
67.94	0.3265E+26
77.84	0.3929E+26
 
 
Energy (eV)	Total collision freq. /N (m3/s)
0.1395E-01	0.3530E-14
0.1578E-01	0.3695E-14
0.1809E-01	0.3883E-14
0.2082E-01	0.4070E-14
0.2439E-01	0.4292E-14
0.3194E-01	0.4755E-14
0.3891E-01	0.5076E-14
0.4427E-01	0.5233E-14
0.5063E-01	0.5398E-14
0.5819E-01	0.5571E-14
0.6721E-01	0.5756E-14
0.7917E-01	0.5996E-14
0.9221E-01	0.6216E-14
0.1076	0.6464E-14
0.1275	0.6779E-14
0.1529	0.7193E-14
0.1832	0.7684E-14
0.2196	0.8292E-14
0.2622	0.9021E-14
0.3107	0.9874E-14
0.3616	0.1079E-13
0.4142	0.1175E-13
0.4667	0.1272E-13
0.5185	0.1370E-13
0.5681	0.1464E-13
0.6157	0.1555E-13
0.6617	0.1644E-13
0.7071	0.1733E-13
0.7515	0.1820E-13
0.7963	0.1910E-13
0.8422	0.2002E-13
0.8905	0.2101E-13
0.9417	0.2206E-13
0.9970	0.2322E-13
1.620	0.4260E-13
1.664	0.4347E-13
1.716	0.4452E-13
1.775	0.4578E-13
1.843	0.4728E-13
1.922	0.4905E-13
2.011	0.5113E-13
2.111	0.5355E-13
2.224	0.5636E-13
2.348	0.5960E-13
2.486	0.6332E-13
2.631	0.6741E-13
2.796	0.7225E-13
2.976	0.7776E-13
3.171	0.8399E-13
3.381	0.9095E-13
3.603	0.9862E-13
3.837	0.1069E-12
4.078	0.1157E-12
4.324	0.1249E-12
4.571	0.1344E-12
4.818	0.1440E-12
5.061	0.1535E-12
5.300	0.1630E-12
5.535	0.1723E-12
5.766	0.1814E-12
5.993	0.1903E-12
6.218	0.1990E-12
6.441	0.2075E-12
6.665	0.2158E-12
6.889	0.2240E-12
7.116	0.2319E-12
7.347	0.2397E-12
7.584	0.2474E-12
7.830	0.2550E-12
8.085	0.2625E-12
8.354	0.2700E-12
8.639	0.2774E-12
8.943	0.2849E-12
9.271	0.2925E-12
9.626	0.3000E-12
10.01	0.3077E-12
10.44	0.3154E-12
10.92	0.3232E-12
11.44	0.3311E-12
12.03	0.3389E-12
12.69	0.3468E-12
13.44	0.3546E-12
14.29	0.3624E-12
15.26	0.3699E-12
16.36	0.3773E-12
17.63	0.3845E-12
19.07	0.3913E-12
20.73	0.3978E-12
22.63	0.4038E-12
24.80	0.4094E-12
27.30	0.4145E-12
30.17	0.4191E-12
33.46	0.4233E-12
37.25	0.4270E-12
41.64	0.4302E-12
46.72	0.4330E-12
52.66	0.4353E-12
59.65	0.4372E-12
67.94	0.4385E-12
77.84	0.4394E-12
 
 
Energy (eV)	Momentum frequency /N (m3/s)
0.1395E-01	0.4059E-14
0.1578E-01	0.4225E-14
0.1809E-01	0.4519E-14
0.2082E-01	0.4692E-14
0.2439E-01	0.4935E-14
0.3194E-01	0.5380E-14
0.3891E-01	0.5690E-14
0.4427E-01	0.5847E-14
0.5063E-01	0.6014E-14
0.5819E-01	0.6191E-14
0.6721E-01	0.6382E-14
0.7917E-01	0.6631E-14
0.9221E-01	0.6863E-14
0.1076	0.7180E-14
0.1275	0.7490E-14
0.1529	0.7905E-14
0.1832	0.8366E-14
0.2196	0.8932E-14
0.2622	0.9615E-14
0.3107	0.1044E-13
0.3616	0.1137E-13
